date,clade_samples,total_samples,Nextstrain_clade,clade_pct
2020-02-01,0,NA,22A (Omicron),1e-5
2020-02-01,0,NA,22B (Omicron),1e-5
2020-02-01,0,NA,22C (Omicron),1e-5
2020-02-01,0,NA,22D (Omicron),1e-5
2020-02-01,0,NA,22E (Omicron),1e-5
2020-02-01,0,NA,22F (Omicron),1e-5
2020-02-01,0,NA,23A (Omicron),1e-5
2020-02-01,0,NA,recombinant,1e-5
2020-02-02,0,NA,19A,1e-5
2020-02-02,0,NA,19B,1e-5
2020-02-02,0,NA,20A,1e-5
2020-02-02,0,NA,20B,1e-5
2020-02-02,0,NA,20C,1e-5
2020-02-02,0,NA,20D,1e-5
2020-02-02,0,NA,20E (EU1),1e-5
2020-02-02,0,NA,20G,1e-5
2020-02-02,0,NA,"20H (Beta, V2)",1e-5
2020-02-02,0,NA,"20I (Alpha, V1)",1e-5
2020-02-02,0,NA,"20J (Gamma, V3)",1e-5
2020-02-02,0,NA,21A (Delta),1e-5
2020-02-02,0,NA,21B (Kappa),1e-5
2020-02-02,0,NA,21C (Epsilon),1e-5
2020-02-02,0,NA,21D (Eta),1e-5
2020-02-02,0,NA,21F (Iota),1e-5
2020-02-02,0,NA,21G (Lambda),1e-5
2020-02-02,0,NA,21H (Mu),1e-5
2020-02-02,0,NA,21I (Delta),1e-5
2020-02-02,0,NA,21J (Delta),1e-5
2020-02-02,0,NA,21K (Omicron),1e-5
2020-02-02,0,NA,21L (Omicron),1e-5
2020-02-02,0,NA,21M (Omicron),1e-5
2020-02-02,0,NA,22A (Omicron),1e-5
2020-02-02,0,NA,22B (Omicron),1e-5
2020-02-02,0,NA,22C (Omicron),1e-5
2020-02-02,0,NA,22D (Omicron),1e-5
2020-02-02,0,NA,22E (Omicron),1e-5
2020-02-02,0,NA,22F (Omicron),1e-5
2020-02-02,0,NA,23A (Omicron),1e-5
2020-02-02,0,NA,recombinant,1e-5
2020-02-03,0,NA,19A,1e-5
2020-02-03,0,NA,19B,1e-5
2020-02-03,0,NA,20A,1e-5
2020-02-03,0,NA,20B,1e-5
2020-02-03,0,NA,20C,1e-5
2020-02-03,0,NA,20D,1e-5
2020-02-03,0,NA,20E (EU1),1e-5
2020-02-03,0,NA,20G,1e-5
2020-02-03,0,NA,"20H (Beta, V2)",1e-5
2020-02-03,0,NA,"20I (Alpha, V1)",1e-5
2020-02-03,0,NA,"20J (Gamma, V3)",1e-5
2020-02-03,0,NA,21A (Delta),1e-5
2020-02-03,0,NA,21B (Kappa),1e-5
2020-02-03,0,NA,21C (Epsilon),1e-5
2020-02-03,0,NA,21D (Eta),1e-5
2020-02-03,0,NA,21F (Iota),1e-5
2020-02-03,0,NA,21G (Lambda),1e-5
2020-02-03,0,NA,21H (Mu),1e-5
2020-02-03,0,NA,21I (Delta),1e-5
2020-02-03,0,NA,21J (Delta),1e-5
2020-02-03,0,NA,21K (Omicron),1e-5
2020-02-03,0,NA,21L (Omicron),1e-5
2020-02-03,0,NA,21M (Omicron),1e-5
2020-02-03,0,NA,22A (Omicron),1e-5
2020-02-03,0,NA,22B (Omicron),1e-5
2020-02-03,0,NA,22C (Omicron),1e-5
2020-02-03,0,NA,22D (Omicron),1e-5
2020-02-03,0,NA,22E (Omicron),1e-5
2020-02-03,0,NA,22F (Omicron),1e-5
2020-02-03,0,NA,23A (Omicron),1e-5
2020-02-03,0,NA,recombinant,1e-5
2020-02-04,0,NA,19A,1e-5
2020-02-04,0,NA,19B,1e-5
2020-02-04,0,NA,20A,1e-5
2020-02-04,0,NA,20B,1e-5
2020-02-04,0,NA,20C,1e-5
2020-02-04,0,NA,20D,1e-5
2020-02-04,0,NA,20E (EU1),1e-5
2020-02-04,0,NA,20G,1e-5
2020-02-04,0,NA,"20H (Beta, V2)",1e-5
2020-02-04,0,NA,"20I (Alpha, V1)",1e-5
2020-02-04,0,NA,"20J (Gamma, V3)",1e-5
2020-02-04,0,NA,21A (Delta),1e-5
2020-02-04,0,NA,21B (Kappa),1e-5
2020-02-04,0,NA,21C (Epsilon),1e-5
2020-02-04,0,NA,21D (Eta),1e-5
2020-02-04,0,NA,21F (Iota),1e-5
2020-02-04,0,NA,21G (Lambda),1e-5
2020-02-04,0,NA,21H (Mu),1e-5
2020-02-04,0,NA,21I (Delta),1e-5
2020-02-04,0,NA,21J (Delta),1e-5
2020-02-04,0,NA,21K (Omicron),1e-5
2020-02-04,0,NA,21L (Omicron),1e-5
2020-02-04,0,NA,21M (Omicron),1e-5
2020-02-04,0,NA,22A (Omicron),1e-5
2020-02-04,0,NA,22B (Omicron),1e-5
2020-02-04,0,NA,22C (Omicron),1e-5
2020-02-04,0,NA,22D (Omicron),1e-5
2020-02-04,0,NA,22E (Omicron),1e-5
2020-02-04,0,NA,22F (Omicron),1e-5
2020-02-04,0,NA,23A (Omicron),1e-5
2020-02-04,0,NA,recombinant,1e-5
2020-02-05,0,NA,19A,1e-5
2020-02-05,0,NA,19B,1e-5
2020-02-05,0,NA,20A,1e-5
2020-02-05,0,NA,20B,1e-5
2020-02-05,0,NA,20C,1e-5
2020-02-05,0,NA,20D,1e-5
2020-02-05,0,NA,20E (EU1),1e-5
2020-02-05,0,NA,20G,1e-5
2020-02-05,0,NA,"20H (Beta, V2)",1e-5
2020-02-05,0,NA,"20I (Alpha, V1)",1e-5
2020-02-05,0,NA,"20J (Gamma, V3)",1e-5
2020-02-05,0,NA,21A (Delta),1e-5
2020-02-05,0,NA,21B (Kappa),1e-5
2020-02-05,0,NA,21C (Epsilon),1e-5
2020-02-05,0,NA,21D (Eta),1e-5
2020-02-05,0,NA,21F (Iota),1e-5
2020-02-05,0,NA,21G (Lambda),1e-5
2020-02-05,0,NA,21H (Mu),1e-5
2020-02-05,0,NA,21I (Delta),1e-5
2020-02-05,0,NA,21J (Delta),1e-5
2020-02-05,0,NA,21K (Omicron),1e-5
2020-02-05,0,NA,21L (Omicron),1e-5
2020-02-05,0,NA,21M (Omicron),1e-5
2020-02-05,0,NA,22A (Omicron),1e-5
2020-02-05,0,NA,22B (Omicron),1e-5
2020-02-05,0,NA,22C (Omicron),1e-5
2020-02-05,0,NA,22D (Omicron),1e-5
2020-02-05,0,NA,22E (Omicron),1e-5
2020-02-05,0,NA,22F (Omicron),1e-5
2020-02-05,0,NA,23A (Omicron),1e-5
2020-02-05,0,NA,recombinant,1e-5
2020-02-06,0,NA,19A,1e-5
2020-02-06,0,NA,19B,1e-5
2020-02-06,0,NA,20A,1e-5
2020-02-06,0,NA,20B,1e-5
2020-02-06,0,NA,20C,1e-5
2020-02-06,0,NA,20D,1e-5
2020-02-06,0,NA,20E (EU1),1e-5
2020-02-06,0,NA,20G,1e-5
2020-02-06,0,NA,"20H (Beta, V2)",1e-5
2020-02-06,0,NA,"20I (Alpha, V1)",1e-5
2020-02-06,0,NA,"20J (Gamma, V3)",1e-5
2020-02-06,0,NA,21A (Delta),1e-5
2020-02-06,0,NA,21B (Kappa),1e-5
2020-02-06,0,NA,21C (Epsilon),1e-5
2020-02-06,0,NA,21D (Eta),1e-5
2020-02-06,0,NA,21F (Iota),1e-5
2020-02-06,0,NA,21G (Lambda),1e-5
2020-02-06,0,NA,21H (Mu),1e-5
2020-02-06,0,NA,21I (Delta),1e-5
2020-02-06,0,NA,21J (Delta),1e-5
2020-02-06,0,NA,21K (Omicron),1e-5
2020-02-06,0,NA,21L (Omicron),1e-5
2020-02-06,0,NA,21M (Omicron),1e-5
2020-02-06,0,NA,22A (Omicron),1e-5
2020-02-06,0,NA,22B (Omicron),1e-5
2020-02-06,0,NA,22C (Omicron),1e-5
2020-02-06,0,NA,22D (Omicron),1e-5
2020-02-06,0,NA,22E (Omicron),1e-5
2020-02-06,0,NA,22F (Omicron),1e-5
2020-02-06,0,NA,23A (Omicron),1e-5
2020-02-06,0,NA,recombinant,1e-5
2020-02-07,0,NA,19A,1e-5
2020-02-07,0,NA,19B,1e-5
2020-02-07,0,NA,20A,1e-5
2020-02-07,0,NA,20B,1e-5
2020-02-07,0,NA,20C,1e-5
2020-02-07,0,NA,20D,1e-5
2020-02-07,0,NA,20E (EU1),1e-5
2020-02-07,0,NA,20G,1e-5
2020-02-07,0,NA,"20H (Beta, V2)",1e-5
2020-02-07,0,NA,"20I (Alpha, V1)",1e-5
2020-02-07,0,NA,"20J (Gamma, V3)",1e-5
2020-02-07,0,NA,21A (Delta),1e-5
2020-02-07,0,NA,21B (Kappa),1e-5
2020-02-07,0,NA,21C (Epsilon),1e-5
2020-02-07,0,NA,21D (Eta),1e-5
2020-02-07,0,NA,21F (Iota),1e-5
2020-02-07,0,NA,21G (Lambda),1e-5
2020-02-07,0,NA,21H (Mu),1e-5
2020-02-07,0,NA,21I (Delta),1e-5
2020-02-07,0,NA,21J (Delta),1e-5
2020-02-07,0,NA,21K (Omicron),1e-5
2020-02-07,0,NA,21L (Omicron),1e-5
2020-02-07,0,NA,21M (Omicron),1e-5
2020-02-07,0,NA,22A (Omicron),1e-5
2020-02-07,0,NA,22B (Omicron),1e-5
2020-02-07,0,NA,22C (Omicron),1e-5
2020-02-07,0,NA,22D (Omicron),1e-5
2020-02-07,0,NA,22E (Omicron),1e-5
2020-02-07,0,NA,22F (Omicron),1e-5
2020-02-07,0,NA,23A (Omicron),1e-5
2020-02-07,0,NA,recombinant,1e-5
2020-02-08,0,NA,19A,1e-5
2020-02-08,0,NA,19B,1e-5
2020-02-08,0,NA,20A,1e-5
2020-02-08,0,NA,20B,1e-5
2020-02-08,0,NA,20C,1e-5
2020-02-08,0,NA,20D,1e-5
2020-02-08,0,NA,20E (EU1),1e-5
2020-02-08,0,NA,20G,1e-5
2020-02-08,0,NA,"20H (Beta, V2)",1e-5
2020-02-08,0,NA,"20I (Alpha, V1)",1e-5
2020-02-08,0,NA,"20J (Gamma, V3)",1e-5
2020-02-08,0,NA,21A (Delta),1e-5
2020-02-08,0,NA,21B (Kappa),1e-5
2020-02-08,0,NA,21C (Epsilon),1e-5
2020-02-08,0,NA,21D (Eta),1e-5
2020-02-08,0,NA,21F (Iota),1e-5
2020-02-08,0,NA,21G (Lambda),1e-5
2020-02-08,0,NA,21H (Mu),1e-5
2020-02-08,0,NA,21I (Delta),1e-5
2020-02-08,0,NA,21J (Delta),1e-5
2020-02-08,0,NA,21K (Omicron),1e-5
2020-02-08,0,NA,21L (Omicron),1e-5
2020-02-08,0,NA,21M (Omicron),1e-5
2020-02-08,0,NA,22A (Omicron),1e-5
2020-02-08,0,NA,22B (Omicron),1e-5
2020-02-08,0,NA,22C (Omicron),1e-5
2020-02-08,0,NA,22D (Omicron),1e-5
2020-02-08,0,NA,22E (Omicron),1e-5
2020-02-08,0,NA,22F (Omicron),1e-5
2020-02-08,0,NA,23A (Omicron),1e-5
2020-02-08,0,NA,recombinant,1e-5
2020-02-09,0,NA,19A,1e-5
2020-02-09,0,NA,19B,1e-5
2020-02-09,0,NA,20A,1e-5
2020-02-09,0,NA,20B,1e-5
2020-02-09,0,NA,20C,1e-5
2020-02-09,0,NA,20D,1e-5
2020-02-09,0,NA,20E (EU1),1e-5
2020-02-09,0,NA,20G,1e-5
2020-02-09,0,NA,"20H (Beta, V2)",1e-5
2020-02-09,0,NA,"20I (Alpha, V1)",1e-5
2020-02-09,0,NA,"20J (Gamma, V3)",1e-5
2020-02-09,0,NA,21A (Delta),1e-5
2020-02-09,0,NA,21B (Kappa),1e-5
2020-02-09,0,NA,21C (Epsilon),1e-5
2020-02-09,0,NA,21D (Eta),1e-5
2020-02-09,0,NA,21F (Iota),1e-5
2020-02-09,0,NA,21G (Lambda),1e-5
2020-02-09,0,NA,21H (Mu),1e-5
2020-02-09,0,NA,21I (Delta),1e-5
2020-02-09,0,NA,21J (Delta),1e-5
2020-02-09,0,NA,21K (Omicron),1e-5
2020-02-09,0,NA,21L (Omicron),1e-5
2020-02-09,0,NA,21M (Omicron),1e-5
2020-02-09,0,NA,22A (Omicron),1e-5
2020-02-09,0,NA,22B (Omicron),1e-5
2020-02-09,0,NA,22C (Omicron),1e-5
2020-02-09,0,NA,22D (Omicron),1e-5
2020-02-09,0,NA,22E (Omicron),1e-5
2020-02-09,0,NA,22F (Omicron),1e-5
2020-02-09,0,NA,23A (Omicron),1e-5
2020-02-09,0,NA,recombinant,1e-5
2020-02-10,0,NA,19A,1e-5
2020-02-10,0,NA,19B,1e-5
2020-02-10,0,NA,20A,1e-5
2020-02-10,0,NA,20B,1e-5
2020-02-10,0,NA,20C,1e-5
2020-02-10,0,NA,20D,1e-5
2020-02-10,0,NA,20E (EU1),1e-5
2020-02-10,0,NA,20G,1e-5
2020-02-10,0,NA,"20H (Beta, V2)",1e-5
2020-02-10,0,NA,"20I (Alpha, V1)",1e-5
2020-02-10,0,NA,"20J (Gamma, V3)",1e-5
2020-02-10,0,NA,21A (Delta),1e-5
2020-02-10,0,NA,21B (Kappa),1e-5
2020-02-10,0,NA,21C (Epsilon),1e-5
2020-02-10,0,NA,21D (Eta),1e-5
2020-02-10,0,NA,21F (Iota),1e-5
2020-02-10,0,NA,21G (Lambda),1e-5
2020-02-10,0,NA,21H (Mu),1e-5
2020-02-10,0,NA,21I (Delta),1e-5
2020-02-10,0,NA,21J (Delta),1e-5
2020-02-10,0,NA,21K (Omicron),1e-5
2020-02-10,0,NA,21L (Omicron),1e-5
2020-02-10,0,NA,21M (Omicron),1e-5
2020-02-10,0,NA,22A (Omicron),1e-5
2020-02-10,0,NA,22B (Omicron),1e-5
2020-02-10,0,NA,22C (Omicron),1e-5
2020-02-10,0,NA,22D (Omicron),1e-5
2020-02-10,0,NA,22E (Omicron),1e-5
2020-02-10,0,NA,22F (Omicron),1e-5
2020-02-10,0,NA,23A (Omicron),1e-5
2020-02-10,0,NA,recombinant,1e-5
2020-02-11,0,NA,19A,1e-5
2020-02-11,0,NA,19B,1e-5
2020-02-11,0,NA,20A,1e-5
2020-02-11,0,NA,20B,1e-5
2020-02-11,0,NA,20C,1e-5
2020-02-11,0,NA,20D,1e-5
2020-02-11,0,NA,20E (EU1),1e-5
2020-02-11,0,NA,20G,1e-5
2020-02-11,0,NA,"20H (Beta, V2)",1e-5
2020-02-11,0,NA,"20I (Alpha, V1)",1e-5
2020-02-11,0,NA,"20J (Gamma, V3)",1e-5
2020-02-11,0,NA,21A (Delta),1e-5
2020-02-11,0,NA,21B (Kappa),1e-5
2020-02-11,0,NA,21C (Epsilon),1e-5
2020-02-11,0,NA,21D (Eta),1e-5
2020-02-11,0,NA,21F (Iota),1e-5
2020-02-11,0,NA,21G (Lambda),1e-5
2020-02-11,0,NA,21H (Mu),1e-5
2020-02-11,0,NA,21I (Delta),1e-5
2020-02-11,0,NA,21J (Delta),1e-5
2020-02-11,0,NA,21K (Omicron),1e-5
2020-02-11,0,NA,21L (Omicron),1e-5
2020-02-11,0,NA,21M (Omicron),1e-5
2020-02-11,0,NA,22A (Omicron),1e-5
2020-02-11,0,NA,22B (Omicron),1e-5
2020-02-11,0,NA,22C (Omicron),1e-5
2020-02-11,0,NA,22D (Omicron),1e-5
2020-02-11,0,NA,22E (Omicron),1e-5
2020-02-11,0,NA,22F (Omicron),1e-5
2020-02-11,0,NA,23A (Omicron),1e-5
2020-02-11,0,NA,recombinant,1e-5
2020-02-12,0,NA,19A,1e-5
2020-02-12,0,NA,19B,1e-5
2020-02-12,0,NA,20A,1e-5
2020-02-12,0,NA,20B,1e-5
2020-02-12,0,NA,20C,1e-5
2020-02-12,0,NA,20D,1e-5
2020-02-12,0,NA,20E (EU1),1e-5
2020-02-12,0,NA,20G,1e-5
2020-02-12,0,NA,"20H (Beta, V2)",1e-5
2020-02-12,0,NA,"20I (Alpha, V1)",1e-5
2020-02-12,0,NA,"20J (Gamma, V3)",1e-5
2020-02-12,0,NA,21A (Delta),1e-5
2020-02-12,0,NA,21B (Kappa),1e-5
2020-02-12,0,NA,21C (Epsilon),1e-5
2020-02-12,0,NA,21D (Eta),1e-5
2020-02-12,0,NA,21F (Iota),1e-5
2020-02-12,0,NA,21G (Lambda),1e-5
2020-02-12,0,NA,21H (Mu),1e-5
2020-02-12,0,NA,21I (Delta),1e-5
2020-02-12,0,NA,21J (Delta),1e-5
2020-02-12,0,NA,21K (Omicron),1e-5
2020-02-12,0,NA,21L (Omicron),1e-5
2020-02-12,0,NA,21M (Omicron),1e-5
2020-02-12,0,NA,22A (Omicron),1e-5
2020-02-12,0,NA,22B (Omicron),1e-5
2020-02-12,0,NA,22C (Omicron),1e-5
2020-02-12,0,NA,22D (Omicron),1e-5
2020-02-12,0,NA,22E (Omicron),1e-5
2020-02-12,0,NA,22F (Omicron),1e-5
2020-02-12,0,NA,23A (Omicron),1e-5
2020-02-12,0,NA,recombinant,1e-5
2020-02-13,0,NA,19A,1e-5
2020-02-13,0,NA,19B,1e-5
2020-02-13,0,NA,20A,1e-5
2020-02-13,0,NA,20B,1e-5
2020-02-13,0,NA,20C,1e-5
2020-02-13,0,NA,20D,1e-5
2020-02-13,0,NA,20E (EU1),1e-5
2020-02-13,0,NA,20G,1e-5
2020-02-13,0,NA,"20H (Beta, V2)",1e-5
2020-02-13,0,NA,"20I (Alpha, V1)",1e-5
2020-02-13,0,NA,"20J (Gamma, V3)",1e-5
2020-02-13,0,NA,21A (Delta),1e-5
2020-02-13,0,NA,21B (Kappa),1e-5
2020-02-13,0,NA,21C (Epsilon),1e-5
2020-02-13,0,NA,21D (Eta),1e-5
2020-02-13,0,NA,21F (Iota),1e-5
2020-02-13,0,NA,21G (Lambda),1e-5
2020-02-13,0,NA,21H (Mu),1e-5
2020-02-13,0,NA,21I (Delta),1e-5
2020-02-13,0,NA,21J (Delta),1e-5
2020-02-13,0,NA,21K (Omicron),1e-5
2020-02-13,0,NA,21L (Omicron),1e-5
2020-02-13,0,NA,21M (Omicron),1e-5
2020-02-13,0,NA,22A (Omicron),1e-5
2020-02-13,0,NA,22B (Omicron),1e-5
2020-02-13,0,NA,22C (Omicron),1e-5
2020-02-13,0,NA,22D (Omicron),1e-5
2020-02-13,0,NA,22E (Omicron),1e-5
2020-02-13,0,NA,22F (Omicron),1e-5
2020-02-13,0,NA,23A (Omicron),1e-5
2020-02-13,0,NA,recombinant,1e-5
2020-02-14,0,NA,19A,1e-5
2020-02-14,0,NA,19B,1e-5
2020-02-14,0,NA,20A,1e-5
2020-02-14,0,NA,20B,1e-5
2020-02-14,0,NA,20C,1e-5
2020-02-14,0,NA,20D,1e-5
2020-02-14,0,NA,20E (EU1),1e-5
2020-02-14,0,NA,20G,1e-5
2020-02-14,0,NA,"20H (Beta, V2)",1e-5
2020-02-14,0,NA,"20I (Alpha, V1)",1e-5
2020-02-14,0,NA,"20J (Gamma, V3)",1e-5
2020-02-14,0,NA,21A (Delta),1e-5
2020-02-14,0,NA,21B (Kappa),1e-5
2020-02-14,0,NA,21C (Epsilon),1e-5
2020-02-14,0,NA,21D (Eta),1e-5
2020-02-14,0,NA,21F (Iota),1e-5
2020-02-14,0,NA,21G (Lambda),1e-5
2020-02-14,0,NA,21H (Mu),1e-5
2020-02-14,0,NA,21I (Delta),1e-5
2020-02-14,0,NA,21J (Delta),1e-5
2020-02-14,0,NA,21K (Omicron),1e-5
2020-02-14,0,NA,21L (Omicron),1e-5
2020-02-14,0,NA,21M (Omicron),1e-5
2020-02-14,0,NA,22A (Omicron),1e-5
2020-02-14,0,NA,22B (Omicron),1e-5
2020-02-14,0,NA,22C (Omicron),1e-5
2020-02-14,0,NA,22D (Omicron),1e-5
2020-02-14,0,NA,22E (Omicron),1e-5
2020-02-14,0,NA,22F (Omicron),1e-5
2020-02-14,0,NA,23A (Omicron),1e-5
2020-02-14,0,NA,recombinant,1e-5
2020-02-15,0,NA,19A,1e-5
2020-02-15,0,NA,19B,1e-5
2020-02-15,0,NA,20A,1e-5
2020-02-15,0,NA,20B,1e-5
2020-02-15,0,NA,20C,1e-5
2020-02-15,0,NA,20D,1e-5
2020-02-15,0,NA,20E (EU1),1e-5
2020-02-15,0,NA,20G,1e-5
2020-02-15,0,NA,"20H (Beta, V2)",1e-5
2020-02-15,0,NA,"20I (Alpha, V1)",1e-5
2020-02-15,0,NA,"20J (Gamma, V3)",1e-5
2020-02-15,0,NA,21A (Delta),1e-5
2020-02-15,0,NA,21B (Kappa),1e-5
2020-02-15,0,NA,21C (Epsilon),1e-5
2020-02-15,0,NA,21D (Eta),1e-5
2020-02-15,0,NA,21F (Iota),1e-5
2020-02-15,0,NA,21G (Lambda),1e-5
2020-02-15,0,NA,21H (Mu),1e-5
2020-02-15,0,NA,21I (Delta),1e-5
2020-02-15,0,NA,21J (Delta),1e-5
2020-02-15,0,NA,21K (Omicron),1e-5
2020-02-15,0,NA,21L (Omicron),1e-5
2020-02-15,0,NA,21M (Omicron),1e-5
2020-02-15,0,NA,22A (Omicron),1e-5
2020-02-15,0,NA,22B (Omicron),1e-5
2020-02-15,0,NA,22C (Omicron),1e-5
2020-02-15,0,NA,22D (Omicron),1e-5
2020-02-15,0,NA,22E (Omicron),1e-5
2020-02-15,0,NA,22F (Omicron),1e-5
2020-02-15,0,NA,23A (Omicron),1e-5
2020-02-15,0,NA,recombinant,1e-5
2020-02-16,0,NA,19A,1e-5
2020-02-16,0,NA,19B,1e-5
2020-02-16,0,NA,20A,1e-5
2020-02-16,0,NA,20B,1e-5
2020-02-16,0,NA,20C,1e-5
2020-02-16,0,NA,20D,1e-5
2020-02-16,0,NA,20E (EU1),1e-5
2020-02-16,0,NA,20G,1e-5
2020-02-16,0,NA,"20H (Beta, V2)",1e-5
2020-02-16,0,NA,"20I (Alpha, V1)",1e-5
2020-02-16,0,NA,"20J (Gamma, V3)",1e-5
2020-02-16,0,NA,21A (Delta),1e-5
2020-02-16,0,NA,21B (Kappa),1e-5
2020-02-16,0,NA,21C (Epsilon),1e-5
2020-02-16,0,NA,21D (Eta),1e-5
2020-02-16,0,NA,21F (Iota),1e-5
2020-02-16,0,NA,21G (Lambda),1e-5
2020-02-16,0,NA,21H (Mu),1e-5
2020-02-16,0,NA,21I (Delta),1e-5
2020-02-16,0,NA,21J (Delta),1e-5
2020-02-16,0,NA,21K (Omicron),1e-5
2020-02-16,0,NA,21L (Omicron),1e-5
2020-02-16,0,NA,21M (Omicron),1e-5
